ticker,buffett_score,alpha_adj,conviction,verdict,material_killers,in_circle
NVDA,9.3,0.4,HIGH,Own Forever,1,1
APP,8.9,0.4,HIGH,Own Forever,0,1
MSFT,8.8,0.4,HIGH,Own Forever,2,1
GOOGL,8.7,0.4,HIGH,Own Forever,1,1
FICO,8.6,0.4,HIGH,Own Forever,1,1
META,8.5,0.4,HIGH,Own Forever,1,1
ROL,8.4,0.4,HIGH,Own Forever,0,1
CTAS,8.3,0.4,HIGH,Own Forever,0,1
FTNT,8.3,0.4,HIGH,Own Forever,1,1
ADBE,8.2,0.4,HIGH,Own Forever,2,1
ANET,8.2,0.4,HIGH,Own Forever,1,1
DECK,8.2,0.4,HIGH,Own Forever,1,1
EXPE,8.1,0.4,HIGH,Own Forever,0,1
ALLE,8.0,0.3,MODERATE,Watchlist,0,1
MAR,8.0,0.3,MODERATE,Watchlist,0,1
MNST,8.0,0.3,MODERATE,Watchlist,0,1
AOS,7.9,0.29,MODERATE,Watchlist,1,1
MO,7.9,0.29,MODERATE,Watchlist,1,1
ADSK,7.9,0.29,MODERATE,Watchlist,2,1
BX,7.9,0.29,MODERATE,Watchlist,0,1
BKNG,7.9,0.29,MODERATE,Watchlist,1,1
LVS,7.8,0.28,MODERATE,Watchlist,0,1
LULU,7.7,0.27,MODERATE,Watchlist,0,1
NTAP,7.7,0.27,MODERATE,Watchlist,2,1
PG,7.7,0.27,MODERATE,Watchlist,1,1
GOOG,7.6,0.26,MODERATE,Watchlist,1,1
INTU,7.6,0.26,MODERATE,Watchlist,1,1
AMP,7.5,0.25,MODERATE,Watchlist,1,1
AVGO,7.5,0.25,MODERATE,Watchlist,1,1
IT,7.5,0.25,MODERATE,Watchlist,1,1
NWS,7.5,0.25,MODERATE,Watchlist,0,1
IBKR,7.3,0.23,MODERATE,Watchlist,0,1
JPM,7.3,0.23,MODERATE,Watchlist,1,1
MA,7.3,0.23,MODERATE,Watchlist,1,1
PAYX,7.3,0.23,MODERATE,Watchlist,2,1
AON,7.2,0.22,MODERATE,Watchlist,0,1
FFIV,7.2,0.22,MODERATE,Watchlist,2,1
FDS,7.2,0.22,MODERATE,Watchlist,1,1
MRSH,7.2,0.22,MODERATE,Watchlist,1,1
PGR,7.2,0.22,MODERATE,Watchlist,1,1
PTC,7.2,0.22,MODERATE,Watchlist,2,1
CRM,7.2,0.22,MODERATE,Watchlist,1,1
ERIE,7.1,0.21,MODERATE,Watchlist,0,1
GL,7.1,0.21,MODERATE,Watchlist,1,1
INCY,7.1,0.21,MODERATE,Watchlist,1,1
MAS,7.1,0.21,MODERATE,Watchlist,1,1
MCD,7.1,0.21,MODERATE,Watchlist,1,1
PNR,7.1,0.21,MODERATE,Watchlist,0,1
AMGN,7.0,0.2,MODERATE,Watchlist,1,0
