ticker,buffett_score,alpha_adj,conviction,verdict,material_killers
NVDA,8.7,0.4,HIGH,Own Forever,1
MEDP,8.6,0.4,HIGH,Own Forever,0
ALLE,8.3,0.4,HIGH,Own Forever,0
CTAS,8.3,0.4,HIGH,Own Forever,0
LOPE,8.3,0.4,HIGH,Own Forever,0
SEIC,8.3,0.4,HIGH,Own Forever,0
GOOGL,8.2,0.4,HIGH,Own Forever,1
FICO,8.2,0.4,HIGH,Own Forever,1
SCCO,8.2,0.4,HIGH,Own Forever,0
AXP,8.1,0.4,HIGH,Own Forever,0
META,8.1,0.4,HIGH,Own Forever,1
ROL,8.1,0.4,HIGH,Own Forever,0
NBIX,8.1,0.4,HIGH,Own Forever,0
BYD,8.1,0.4,HIGH,Own Forever,0
PCTY,8.1,0.4,HIGH,Own Forever,1
NEU,8.1,0.4,HIGH,Own Forever,0
APP,8.0,0.3,MODERATE,Watchlist,0
HCA,8.0,0.3,MODERATE,Watchlist,0
JPM,8.0,0.3,MODERATE,Watchlist,1
MAR,8.0,0.3,MODERATE,Watchlist,0
MSFT,8.0,0.3,MODERATE,Watchlist,2
EXEL,8.0,0.3,MODERATE,Watchlist,1
MORN,8.0,0.3,MODERATE,Watchlist,0
HALO,8.0,0.3,MODERATE,Watchlist,1
BKNG,7.9,0.29,MODERATE,Watchlist,1
FTNT,7.9,0.29,MODERATE,Watchlist,1
SNA,7.9,0.29,MODERATE,Watchlist,0
V,7.9,0.29,MODERATE,Watchlist,1
SN,7.9,0.29,MODERATE,Watchlist,0
ADBE,7.8,0.28,MODERATE,Watchlist,2
MO,7.8,0.28,MODERATE,Watchlist,1
ANET,7.8,0.28,MODERATE,Watchlist,1
ADSK,7.8,0.28,MODERATE,Watchlist,2
DECK,7.8,0.28,MODERATE,Watchlist,1
RMD,7.8,0.28,MODERATE,Watchlist,1
SLM,7.8,0.28,MODERATE,Watchlist,0
LNG,7.8,0.28,MODERATE,Watchlist,1
AFG,7.8,0.28,MODERATE,Watchlist,0
AWI,7.8,0.28,MODERATE,Watchlist,0
AOS,7.7,0.27,MODERATE,Watchlist,1
EXPE,7.7,0.27,MODERATE,Watchlist,0
LLY,7.7,0.27,MODERATE,Watchlist,1
MCO,7.7,0.27,MODERATE,Watchlist,0
HEI,7.7,0.27,MODERATE,Watchlist,0
STWD,7.7,0.27,MODERATE,Watchlist,0
CBC,7.7,0.27,MODERATE,Watchlist,0
AON,7.6,0.26,MODERATE,Watchlist,0
MNST,7.6,0.26,MODERATE,Watchlist,0
